"Situação dos Órgãos e Entidades do Ente Federativo"
"Data da Pesquisa: 02/09/2026"
"Ente Federativo: 06.354.468/0001-60 - Maranhão"
"Observação: As datas mencionadas nas colunas dos itens referem-se à validade da comprovação do item, conforme exigido para fins de verificação documental."
""
"CNPJ";"Nome";"Tipo de Administração";"Regularidade Fiscal";"1.1";"1.2";"1.3";"1.4";"1.5";"2.1.1";"2.1.2";"3.1.1";"3.1.2";"3.2.1";"3.2.2";"3.2.3";"3.2.4";"3.3";"3.4.1";"3.4.2";"3.5";"3.6";"3.7";"4.1";"4.2";"4.3";"5.1";"5.2";"5.3";"5.4";"5.5";"5.6";"5.7";"5.8"
"24.090.302/0001-66";"30 BATALHAO DE POLICIA MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"48.413.756/0001-99";"32 BATALHAO DE POLICIA MILITAR DO MARANHAO";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"08.986.795/0001-60";"33 BATALHAO DE POLICIA MILITAR DO ESTADO DO MARANHAO (33 BPM)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"07.596.857/0001-65";"35 BATALHAO DE POLICIA MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"08.234.977/0001-85";"36 BATALHAO DE POLICIA MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"20.436.868/0001-46";"37 BATALHAO DE POLICIA MILITAR (37 BPM)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"48.289.513/0001-90";"46 BATALHAO DE POLICIA MILITAR (46 BPM)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.673.406/0001-78";"4: COMPANHIA DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"32.848.796/0001-23";"5A COMPANHIA INDEPENDENTE DE BOMBEIROS MILITAR (5ACIBM)";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.884.499/0001-42";"6* DELEGACIA REGIONAL DE VIANA - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.604.157/0001-69";"6: BATALHAO DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"23.640.872/0001-10";"7* DELEGACIA REGIONAL DE SANTA INES - MA";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.806.250/0001-56";"7: BATALHAO DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"22.652.399/0001-28";"9: BATALHAO DE BOMBEIROS MILITAR";"Direta";"Comprovados";"07/02/2027";"02/09/2026";"Desativado";"02/09/2026";"02/09/2026";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"02/09/2026";"02/09/2026";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
